What standard covers rigging guidelines referenced in the Capstan Hoist training?	ANSI A10.48 Rigging Guidelines.
Why should you start the hoist to view physical rotation direction?	To determine which way to load the rope wraps (load side on inside, pull side on outside).
What mechanical advantage does 4 wraps provide on startup?	4 wraps = 44:1 mechanical advantage (for every lb. of pull, you can lift 44 pounds).
What should you do after loading the rope on the drum?	Test pick the load by pulling few inches off ground.
What is the critical safety rule about adding wraps?	NEVER ADD WRAPS WHILE DRUM IS ROTATING.
What must the capstan setup allow for the operator?	Make sure the set up allows view of the load, ensure you can view the signal person, not too close to the vehicle (enough room to operate the capstan hoist), and make sure the rope can move smoothly.
What must be considered regarding slack rope in capstan setup?	Room for slack rope; not at the operator's feet.
What must happen if the capstan hoist overlaps during operation?	The capstan hoist must be directly in line with the load; overlapping of rope can occur. Must STOP operation if overlap occurs.
How do you fix rope overlap on the capstan?	Secure pull line, use controlled method to take load weight from capstan head and rope to manually fix overlap (can be done by using a prusik attached to a 4:1 pulley system).
When should you add wraps to the capstan drum?	Add wraps when there is too much load on the pull side.
When should you remove wraps from the capstan drum?	Remove wraps when not enough tension causing overlapping.
When must the means of hand signals and communication be determined?	Before the job starts.
What hand signal standard should be used?	ANSI Standardized Hand Signals.
What should be utilized for voice communication?	Utilize established voice communication protocol. Phonetic Alphabet used for communicating letters over radio/phone.
What should you do before using a capstan hoist?	Read and understand the manufacturer's instruction manual and warnings before use.
What is the minimum required PPE for capstan hoist operation?	Hard hat, leather gloves, safety glasses, and safety toe boots.
What must you know before starting a capstan hoist job?	Know the weight of object or force to pull the cable before starting job. Take time to understand: the job at hand, the equipment being used, and the procedures required to perform the task. Make sure all equipment used is rated for the loads involved.
Why should you never overload the hoist?	Never overload the hoist! Know the weight of the object or force to pull the cable before starting the job.
When is it acceptable to move a load the operator cannot see?	Never move a load the operator cannot see without proper communication. Communication with a second worker watching the load is necessary (standardized hand signals or radio communication).
What must be inspected before every job when using a capstan hoist?	Never use a malfunctioning or damaged hoist. Thoroughly inspect before every job for: Function, bent, broken, or missing parts.
What is the safety rule regarding lifting people or loads over people?	Never lift people or loads over people! It's easy to not notice the operation and walk under a load line.
What must be analyzed regarding potential danger zones?	Beware of potential danger zones and stay clear. Analyze the job for location and for each piece of equipment: Applied forces, Direction of forces, What can happen if something breaks?
What is the critical safety rule about operating a capstan hoist?	Never operate a hoist without the foot control.
What are the important safety rules regarding turns of rope on the drum?	Never add or remove turns of rope while a load is suspended. Use the same number of turns to lower a load as is required to raise the load. Never use so many turns of rope that no pull is required on the pull line to activate the load.
What capstan hoist feature helps control the on/off function?	Foot switch/pedal.
When should you inspect the capstan hoist?	Before each use.
Why do you need to ensure the capstan hoist is the only item connected to the electric power source?	Other tools reduce the flow of electricity to the capstan resulting in reduced pulling power. This can lead to burn out of capstan motor.
When using a receiver hitch, what must be done to the vehicle in addition to chocking the wheels?	Place vehicle in park and engage the emergency brake.
